1	0
1001	0
2001	1.3755086011383554e-6
3001	0.00026205977064705163
4001	0.003826579677987666+1.1353806127651639*^-13*I
5001	0.018998347073694365+2.5809428290076458*^-12*I
6001	0.05360697890914641-9.772906534208526*^-13*I
7001	0.10796473440551412-9.471181320844688*^-13*I
8001	0.17523825536010787-5.983400126906747*^-12*I
9001	0.24661320202337195-2.5114291703564583*^-12*I
10001	0.31532113594991257-9.832886028308945*^-12*I
11001	0.3776744712379864+2.7464050682465313*^-11*I
12001	0.4323811661216332+4.100551275584316*^-12*I
13001	0.4795365267944869-1.9122493053053667*^-11*I
14001	0.5198710753765609-1.2490905830920024*^-12*I
15001	0.5543158320596717+4.8066167379811005*^-12*I
16001	0.5837897189475812-3.3171321467818155*^-12*I
17001	0.6091128270096692-1.329370835665071*^-11*I
18001	0.6309825271951509+5.075072375004317*^-12*I
19001	0.6499775592604092-4.7772894136155005*^-12*I
20001	0.6665725921297253+4.474572681150021*^-12*I
21001	0.6811551425675507+5.59354715759086*^-12*I
22001	0.6940414513333104-4.4391919581144534*^-13*I
23001	0.7054901481484835+2.4255893555644593*^-12*I
24001	0.7157135271121688-2.1678809286112137*^-12*I
25001	0.724886648580291+9.609789809175735*^-12*I
26001	0.7331546051633152-5.791931693013018*^-12*I
27001	0.7406382937218673-1.316969541551109*^-12*I
28001	0.7474389953177117+2.9005778776617874*^-12*I
29001	0.7536420140850879+4.132037178845436*^-12*I
30001	0.7593195758725534-1.5204457199062735*^-12*I
31001	0.7645331464809342-1.0704403817988619*^-12*I
32001	0.7693352930070865+6.632275232930048*^-14*I
33001	0.773771185848516+2.0029829913004368*^-13*I
34001	0.777879816006303+7.428380250246086*^-13*I
35001	0.7816949873454799+4.876883269662008*^-12*I
36001	0.7852461284838025+1.1449923627926992*^-14*I
37001	0.7885589608904633-5.309462005388808*^-14*I
38001	0.7916560512028812+1.3164072609320263*^-12*I
39001	0.7945572697167357+1.7189186165315288*^-12*I
40001	0.7972801729866615-8.155374328039522*^-13*I
41001	0.7998403243290394+2.892699643835201*^-13*I
42001	0.8022515634906536+2.297809478165859*^-12*I
43001	0.8045262344717142-1.8496575243744727*^-12*I
44001	0.8066753787991893-2.2740757667994814*^-13*I
45001	0.8087088999888766-2.567639193720501*^-13*I
46001	0.8106357041837404+4.4051015567514436*^-13*I
47001	0.8124638206771694-1.063720437472075*^-12*I
48001	0.8142005056578082-8.095482777480376*^-13*I
49001	0.8158523317367928+1.1445941476482416*^-12*I
50001	0.8174252655194453-2.5834883690581187*^-12*I
51001	0.8189247349208659-3.198945323029859*^-13*I
52001	0.8203556878923133+1.2608227498348204*^-13*I
53001	0.8217226436403395+3.338748444302522*^-13*I
54001	0.8230297375352849-2.9001939039854443*^-13*I
55001	0.8242807605549098-8.903776777545749*^-13*I
56001	0.8254791940295351-6.069779800265372*^-13*I
57001	0.8266282402311861-1.9400585555514585*^-13*I
58001	0.8277308495379656+3.667840909554806*^-13*I
59001	0.8287897444656327+2.522403837672798*^-13*I
60001	0.8298074410231577-5.276449959828524*^-13*I
61001	0.83078626775464+9.818420338620714*^-14*I
62001	0.8317283827001039+7.834365991801012*^-13*I
63001	0.8326357886058728-4.0245907341969815*^-13*I
64001	0.8335103465064144+7.666474538396786*^-13*I
65001	0.8343537879289776+7.886502319542982*^-14*I
66001	0.8351677259023272-3.329501486898822*^-13*I
67001	0.8359536648083205+2.503126157278498*^-13*I
68001	0.8367130093252295+5.777750288251073*^-14*I
69001	0.8374470724868299-1.1093373043182643*^-12*I
70001	0.8381570829729269+4.572597514916922*^-14*I
71001	0.8388441917422684-6.728280269956533*^-13*I
72001	0.8395094780239567-2.39669477864464*^-13*I
73001	0.8401539547841232+7.004923336050097*^-13*I
74001	0.840778573710488+6.937221469645604*^-14*I
75001	0.8413842297346812+1.1297644670378523*^-13*I
76001	0.8419717651748482-1.0368301501355074*^-13*I
77001	0.8425419735314392+5.470191979358126*^-13*I
78001	0.8430956029397997+1.040183086785258*^-13*I
79001	0.843633359357203+3.897386867605648*^-15*I
80001	0.844155909466389+2.3971754107636254*^-13*I
