0.	0.9999999999997491+0.*I
0.005	0.9773996379352123+0.*I
0.01	0.955154099582137+0.*I
0.015	0.9332604781021011+0.*I
0.02	0.9117158666558148+0.*I
0.025	0.8905173584073268+0.*I
0.03	0.8696620465161657+0.*I
0.035	0.8491470241442237+0.*I
0.04	0.8289693844513799+0.*I
0.045	0.8091262206023633+0.*I
0.05	0.7896146257573863+0.*I
0.055	0.7704316930780212+0.*I
0.06	0.7515745157258219+0.*I
0.065	0.7330401868623524+0.*I
0.07	0.7148257996491605+0.*I
0.075	0.6969284472478702+0.*I
0.08	0.6793452228225124+0.*I
0.085	0.6620732195292826+0.*I
0.09	0.6451095305325331+0.*I
0.095	0.6284512489903503+0.*I
0.1	0.6120954680716995+0.*I
0.105	0.596039280934213+0.*I
0.11	0.5802797807432228+0.*I
0.115	0.564814060652151+0.*I
0.12	0.549639213822456+0.*I
0.125	0.5347523334255124+0.*I
0.13	0.5201505126176905+0.*I
0.135	0.5058308445640963+0.*I
0.14	0.4917904224159819+0.*I
0.145	0.4780263393408004+0.*I
0.15	0.4645356885103105+0.*I
0.155	0.45131556306948656+0.*I
0.16	0.43836305618112925+0.*I
0.165	0.42567526102006426+0.*I
0.17	0.41324927074631923+0.*I
0.17500000000000002	0.40108217850552647+0.*I
0.18	0.3891710774689741+0.*I
0.185	0.37751306081043634+0.*I
0.19	0.36610522167060744+0.*I
0.195	0.35494465321341956+0.*I
0.2	0.34402844862404286+0.*I
0.20500000000000002	0.33335370103666434+0.*I
0.21	0.32291750361616034+0.*I
0.215	0.31271694955029994+0.*I
0.22	0.30274913196694575+0.*I
0.225	0.29301114404871553+0.*I
0.23	0.28350007894906026+0.*I
0.23500000000000001	0.27421302984899176+0.*I
0.24	0.2651470898975749+0.*I
0.245	0.25629935226529166+0.*I
0.25	0.24766691012274783+0.*I
0.255	0.23924685666986056+0.*I
0.26	0.23103628507382296+0.*I
0.265	0.22303228854146323+0.*I
0.27	0.21523196028671945+0.*I
0.275	0.2076323936507071+0.*I
0.28	0.20023068183975531+0.*I
0.28500000000000003	0.19302391833439594+0.*I
0.29	0.18600919644850936+0.*I
0.295	0.17918360988063714+0.*I
0.3	0.17254425255504782+0.*I
